level_0,index,Year,Month,Reporter,Trade_Flow,Partner,HS_Code,Commodity,Trade_Value_USD,Category,Sector,Tariff_Rate (%)
0,0,2017,52,USA,Export,China,203,"Meat of swine; fresh, chilled or frozen",237191006,Pork,Agriculture,0.0
1,1,2017,52,USA,Import,China,1001,Wheat and meslin,10386,Wheat,Agriculture,0.0
2,2,2017,52,USA,Export,China,1001,Wheat and meslin,353198006,Wheat,Agriculture,0.0
3,3,2017,52,USA,Import,China,1005,Maize (corn),141188,Maize (Corn),Agriculture,0.0
4,4,2017,52,USA,Export,China,1005,Maize (corn),151883243,Maize (Corn),Agriculture,0.0
5,5,2017,52,USA,Import,China,1007,Grain sorghum,130995,Grain Sorghum,Agriculture,0.0
6,6,2017,52,USA,Export,China,1007,Grain sorghum,839459244,Grain Sorghum,Agriculture,0.0
7,7,2017,52,USA,Import,China,1201,"Soya beans, whether or not broken",9692475,Soybeans,Agriculture,0.0
8,8,2017,52,USA,Export,China,1201,"Soya beans, whether or not broken",12224802399,Soybeans,Agriculture,0.0
9,9,2017,52,USA,Import,China,8471,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",51060671047,Computers & Data Processing,Technology,0.0
10,10,2017,52,USA,Export,China,8471,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",1361155055,Computers & Data Processing,Technology,0.0
11,11,2017,52,USA,Import,China,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",72680322674,Telecommunication Equipment,Technology,0.0
12,12,2017,52,USA,Export,China,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",1578669192,Telecommunication Equipment,Technology,0.0
